,Symbol,Sector,netIncome,MarketCap,MarketYearTrend,Median,Year_Price_Variation,MC_discrete_classifier,employees,employeesGrouped,YearsBeforeIpo,DaysBetterThanSP,LastSale,Industry,CEOTakeOver,CEOAge,CEOGender,City,stateCountry,Revenue,USACompany,FiscalMonth,Safe,employeesGrouped_ordinal
0,A,Capital Goods,684000000.0,21983228390.0,0.0204,44.8908,0.11470606723052965,4,13500.0,10000 - 566000.0,0.0,122,68.17,Biotechnology: Laboratory Analytical Instruments,2015.0,56.0,4.0, Santa Clara, CA,4470000.0,1.0,10.0,0,6
1,AAC,Health Care,-20580000.0,270769100.4,0.0088,29.54,0.32054054054054054,1,2100.0,1001 - 5000,0.0,131,11.07,Medical Specialities,2013.0,46.0,4.0, Brentwood, TN,317640000.0,1.0,12.0,1,4
2,AAOI,Technology,73950000.0,584436818.2,0.0144,18.42,0.687751004016064,1,3054.0,1001 - 5000,16.0,125,29.97,Semiconductors,2014.0,54.0,, Sugar Land, TX,382330000.0,1.0,12.0,0,4
3,AAP,Consumer Services,475510000.0,7874970874.0,-0.0075,16.7,0.2361870503597122,3,71000.0,10000 - 566000.0,72.0,128,106.45,Other Specialty Stores,2016.0,59.0,4.0, Roanoke, VA,9370000.0,1.0,12.0,0,6
4,AAT,Consumer Services,29080000.0,1604955992.0,0.0226,21.15,-0.026352941176470527,2,194.0,101 - 500,1.0,123,34.0,Real Estate Investment Trusts,2015.0,79.0,4.0, San Diego, CA,311680000.0,1.0,12.0,0,2
5,AAV,Energy,95040000.0,585784035.9,-0.0082,6.075,-0.06806930693069305,1,36.0,0 - 100,4.0,76,3.15,Oil & Gas Production,2011.0,58.0,4.0, Calgary, Canada,225380000.0,0.0,12.0,0,1
6,AAWW,Transportation,224340000.0,1640543826.0,0.0017,25.138645038167947,0.8507462686567164,2,2870.0,1001 - 5000,11.0,96,64.5,Transportation Services,2006.0,63.0,4.0, Purchase, NY,2160000.0,1.0,12.0,0,4
7,AAXJ,No Specific Sector,,4913238000.0,-0.0131,36.32,0.006831424552943465,2,,10000 - 566000.0,,125,77.01,,,,,,,,,,0,6
8,ABAC,Consumer Non-Durables,1110000.0,20119037.4,-0.0016,16.36,-0.45046728971962613,1,290.0,101 - 500,5.0,103,2.52,Farming/Seeds/Milling,2016.0,53.0,, Wuhan, China,27000000.0,0.0,12.0,0,2
9,ABB,Consumer Durables,2180000.0,49209335312.0,0.0119,27.625,0.24688279301745641,4,134800.0,10000 - 566000.0,11.0,59,23.01,Electrical Products,2013.0,53.0,4.0, Zurich, Switzerland,33630000.0,0.0,12.0,0,6
10,ABBV,Health Care,5280000.0,147000000000.0,0.0091,43.49,0.4897142857142857,5,29000.0,10000 - 566000.0,-1.0,138,92.6,Major Pharmaceuticals,2013.0,63.0,4.0, North Chicago, IL,28220000.0,1.0,12.0,1,6
11,ABCD,Consumer Services,45060000.0,572618531.9,0.0151,3.69,-0.10958904109589039,1,649.0,501 - 1000,0.0,116,12.22,Publishing,2013.0,54.0,4.0, Dallas, TX,158180000.0,1.0,12.0,0,3
12,ABDC,No Specific Sector,-19100000.0,95181265.3,0.0141,13.55,-0.08305647840531562,1,,10000 - 566000.0,,112,6.7,,,53.0,4.0, North America The fund focuses on companies with EBITDA of $5 to $15 million,,21920000.0,,12.0,0,6
13,ABEO,Health Care,-27320000.0,949261494.0,0.0133,843.75,-0.7954545454545454,1,42.0,0 - 100,24.0,64,20.1,Major Pharmaceuticals,2018.0,55.0,4.0, Dallas, TX,,1.0,12.0,0,1
14,ABEV,Consumer Non-Durables,7330000.0,105000000000.0,0.0,0.4333,0.20247148288973382,5,,10000 - 566000.0,-9.0,88,6.67,Beverages (Production/Distribution),,47.0,4.0, S_Ü´£o Paulo, Brazil,47900000.0,0.0,12.0,0,6
15,ABG,Consumer Durables,139100000.0,1424192393.0,-0.0008,10.22,-0.6357142857142857,2,8000.0,5001 - 10000,7.0,107,68.1,Automotive Aftermarket,2018.0,52.0,4.0, Duluth, GA,6460000.0,1.0,12.0,0,5
16,ABIO,Health Care,-18490000.0,7444161.2,0.0184,31496.85,-0.43697477475993013,1,20.0,0 - 100,5.0,93,0.535,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2009.0,71.0,4.0, Westminster, CO,,1.0,12.0,0,1
17,ABLX,Health Care,-108530000.0,960925559.8,0.0189,54.62,1.8010256410256409,1,438.0,101 - 500,16.0,70,55.09,Biotechnology: Biological Products (No Diagnostic Substances),2013.0,61.0,4.0, Ghent, Belgium,55560000.0,0.0,12.0,0,2
18,ABR,Consumer Services,73390000.0,540361477.8,0.0139,21.16,0.2414634146341463,1,445.0,101 - 500,1.0,124,8.65,Real Estate Investment Trusts,2003.0,54.0,4.0, Uniondale, NY,363660000.0,1.0,12.0,0,2
19,ABTX,Finance,17630000.0,542678156.8,-0.0058,23.44,0.1790657439446367,1,375.0,101 - 500,7.0,126,40.85,Major Banks,,76.0,4.0, Houston, TX,125300000.0,1.0,12.0,0,2
20,ABUS,Health Care,-84410000.0,289117694.3,0.0163,5.6975,-0.37829038514824054,1,130.0,101 - 500,2.0,75,5.25,Major Pharmaceuticals,,67.0,4.0, Burnaby, Canada,10700000.0,0.0,12.0,0,2
21,AC,Finance,8840000.0,863869959.2,0.0034,30.06,0.28461538461538455,1,71.0,0 - 100,39.0,115,36.55,Investment Bankers/Brokers/Service,2016.0,62.0,4.0, Rye, NY,66810000.0,1.0,12.0,0,1
22,ACAD,Health Care,-289400000.0,2366842897.0,0.0095,6.96,0.291044776119403,2,425.0,101 - 500,11.0,110,18.98,Major Pharmaceuticals,2016.0,56.0,4.0, San Diego, CA,124900000.0,1.0,12.0,0,2
23,ACBI,Finance,-3730000.0,489673225.0,0.0083,14.39,-0.013333333333333286,1,353.0,101 - 500,9.0,127,19.0,Major Banks,2017.0,59.0,4.0, Atlanta, GA,112000000.0,1.0,12.0,0,2
24,ACC,Consumer Services,67500000.0,5320300595.0,-0.006,20.95,0.35828571428571426,3,3183.0,1001 - 5000,11.0,132,38.93,Real Estate Investment Trusts,2017.0,53.0,4.0, Austin, TX,796450000.0,1.0,12.0,1,4
25,ACCO,Consumer Durables,131699999.99999999,1417924879.0,0.0144,23.38,-0.3197026022304832,2,6620.0,5001 - 10000,0.0,104,13.15,Publishing,2016.0,54.0,4.0, Lake Zurich, IL,1950000.0,1.0,12.0,0,5
26,ACFC,Finance,3170000.0,159105481.6,0.0087,67.0408,0.19063870956980106,1,165.0,101 - 500,-3.0,136,10.23,Savings Institutions,2013.0,51.0,4.0, Jacksonville, FL,41360000.0,1.0,12.0,1,2
27,ACGLO,Finance,612540000.0,0.0,0.0145,24.5499,-0.019718309859155007,1,3140.0,1001 - 5000,17.0,87,24.36,Property-Casualty Insurers,2018.0,50.0,4.0, Hamilton, Bermuda,5410000.0,0.0,12.0,0,4
28,ACGLP,Finance,612540000.0,0.0,0.0125,23.27,-0.010834670947030622,1,3140.0,1001 - 5000,16.0,127,23.84,Property-Casualty Insurers,2018.0,50.0,4.0, Hamilton, Bermuda,5410000.0,0.0,12.0,0,4
29,ACH,Basic Industries,1460000.0,9288047054.0,-0.0074,4.4875,-0.25834701696770657,3,64794.0,10000 - 566000.0,0.0,115,15.58,Aluminum,,,, Beijing, China,206100000.0,0.0,12.0,0,6
30,ACHC,Health Care,199840000.0,3424995194.0,-0.0074,16.14,1.2855555555555556,2,40600.0,10000 - 566000.0,6.0,136,38.8,Medical Specialities,2011.0,62.0,4.0, Franklin, TN,2840000.0,1.0,12.0,1,6
31,ACHN,Health Care,-85240000.0,490904373.7,0.0304,6.47,-0.5593220338983051,1,88.0,0 - 100,8.0,106,3.56,Major Pharmaceuticals,,62.0,, New Haven, CT,,1.0,12.0,0,1
32,ACIA,Technology,38510000.0,1026822507.0,0.0022,61.71,0.541518578352181,2,354.0,101 - 500,7.0,124,25.63,Semiconductors,2010.0,59.0,, Maynard, MA,385170000.0,1.0,12.0,0,2
33,ACLS,Technology,126960000.0,785680358.7,0.0134,47.0,-0.45734814938591356,1,985.0,501 - 1000,22.0,115,24.45,Industrial Machinery/Components,,58.0,2.0, Beverly, MA,410560000.0,1.0,12.0,0,3
34,ACM,Consumer Services,339390000.0,5784205857.0,0.0166,26.86,0.4023696682464454,3,87000.0,10000 - 566000.0,17.0,144,36.34,Military/Government/Technical,2015.0,54.0,4.0, Los Angeles, CA,18200000.0,1.0,9.0,1,6
35,ACMR,Technology,31800000000.0,195611826.2,0.0191,11.84,0.9570247933884298,1,191.0,101 - 500,19.0,58,12.7,Industrial Machinery/Components,2016.0,,4.0, Fremont, CA,36510000.0,1.0,12.0,0,2
36,ACN,Miscellaneous,3450000.0,102000000000.0,-0.0105,20.7,-0.02109426499670404,5,425000.0,10000 - 566000.0,12.0,121,151.42,Business Services,2013.0,58.0,4.0, Dublin, Ireland,36770000.0,0.0,,0,6
37,ACOR,Health Care,-223360000.0,1095436459.0,0.014,5.85,2.2395833333333335,2,484.0,101 - 500,11.0,111,23.35,Biotechnology: Biological Products (No Diagnostic Substances),,62.0,4.0, Ardsley, NY,588290000.0,1.0,12.0,0,2
38,ACP,No Specific Sector,,183559970.9,0.0221,19.05,-0.13450000000000006,1,,10000 - 566000.0,,124,14.04,,2010.0,41.0,4.0,,,,,,0,6
39,ACRE,Consumer Services,30410000.0,353482601.8,0.0151,16.84,-0.07222222222222226,1,1000.0,10000 - 566000.0,15.0,117,12.36,Real Estate Investment Trusts,2017.0,47.0,4.0, Atlanta, GA,97540000.0,1.0,12.0,0,6
40,ACRS,Health Care,-68520000.0,549428527.8,-0.0085,20.054675572519077,1.2280542986425338,1,96.0,0 - 100,3.0,128,17.78,Major Pharmaceuticals,2012.0,47.0,4.0, Malvern, PA,1680000.0,1.0,12.0,0,1
41,ACRX,Health Care,-51510000.0,122157969.6,0.0232,3.3,-0.29450549450549446,1,41.0,0 - 100,6.0,109,2.4,Major Pharmaceuticals,,49.0,4.0, Redwood City, CA,8000000.0,1.0,12.0,0,1
42,ACSF,No Specific Sector,,113501135.0,0.0186,13.77,-0.08445440956651724,1,,10000 - 566000.0,,110,11.35,,,,4.0,,,,,,0,6
43,ACST,Health Care,-10380000.0,28202036.5,0.0145,14.95,1.1869874248223071,1,,10000 - 566000.0,9.0,23,1.1,Major Pharmaceuticals,2017.0,,1.0, Laval, Canada,,0.0,3.0,0,6
44,ACTG,Miscellaneous,,167105010.6,-0.0083,1.64,1.6648648648648645,1,,10000 - 566000.0,9.0,118,3.3,Multi-Sector Companies,,,4.0,,,,,,0,6
45,ACV,No Specific Sector,,233139069.3,0.0163,18.01,-0.3062449959967975,1,,10000 - 566000.0,60.0,108,22.69,,2015.0,57.0,4.0, Melrose Park, IL,,1.0,,0,6
46,ACWI,No Specific Sector,,8476176000.0,-0.0168,42.62,-0.405189620758483,3,,10000 - 566000.0,,121,72.57,,,,,,,,,,0,6
47,ACWX,No Specific Sector,,3203398000.0,-0.0168,40.5,-0.44618434093161546,2,,10000 - 566000.0,,113,50.21,,,,,,,,,,0,6
48,ADAP,Health Care,-70890000.0,802097206.6,0.0105,10.53,-0.453125,1,371.0,101 - 500,1.0,124,12.36,Biotechnology: Biological Products (No Diagnostic Substances),2014.0,55.0,4.0, Abingdon, the United Kingdom,38240000.0,0.0,12.0,0,2
49,ADES,Basic Industries,27700000.0,223985250.4,0.015,4.15,4.0,1,29.0,0 - 100,7.0,106,11.03,Major Chemicals,2015.0,43.0,, Highlands Ranch, CO,35690000.0,1.0,12.0,0,1
50,ADMA,Health Care,-43760000.0,229758427.1,0.0162,8.5,0.3742690058479531,1,295.0,101 - 500,7.0,93,5.07,Biotechnology: Biological Products (No Diagnostic Substances),2011.0,38.0,4.0, Hackensack, NJ,22760000.0,1.0,12.0,0,2
